Pokemon,cluster_p2,tipo_dominante,segundo_tipo
Blaziken,16,fire,fighting
Blissey,1,psychic,rock
Blitzle,11,electric,psychic
Boldore,5,rock,ground
Bonsly,5,rock,dark
Bouffalant,1,rock,poison
Braixen,16,fire,psychic
Braviary,6,flying,rock
Breloom,12,fighting,grass
Bronzong,7,psychic,rock
Bronzor,7,psychic,rock
Budew,8,grass,poison
Buizel,3,water,ice
Bulbasaur,8,grass,poison
Buneary,1,fighting,electric
Bunnelby,5,rock,ground
Burmy,10,bug,electric
Butterfree,10,bug,flying
Cacnea,8,grass,poison
Cacturne,8,grass,fighting
Camerupt,5,fire,rock
Carbink,5,rock,psychic
Carnivine,8,grass,dark
Carracosta,3,rock,water
Carvanha,3,water,dark
Cascoon,4,poison,bug
Castform,1,water,ice
Caterpie,4,bug,electric
Celebi,7,psychic,grass
Chandelure,13,fire,psychic
Chansey,1,psychic,rock
Charmander,16,fire,dragon
Charmeleon,16,fire,dragon
Chatot,6,flying,psychic
Cherrim,8,grass,psychic
Cherubi,8,grass,psychic
Chesnaught,8,grass,fighting
Chespin,8,grass,fighting
Chikorita,8,grass,psychic
Chimchar,16,fire,fighting
Chimecho,7,psychic,ghost
Chinchou,3,water,electric
Chingling,7,psychic,ghost
Cinccino,1,electric,grass
Clamperl,3,water,ice
Clauncher,3,water,poison
Clawitzer,3,water,poison
Claydol,7,psychic,rock
Clefairy,15,psychic,fighting
Cleffa,15,psychic,fire
Cloyster,3,water,ice
Cobalion,5,fighting,rock
Cofagrigus,13,psychic,ghost
Combee,10,bug,flying
Combusken,16,fire,fighting
Conkeldurr,12,fighting,rock
Corphish,3,water,dark
Corsola,5,rock,water
Cottonee,8,grass,dark
Cradily,5,rock,grass
Cranidos,5,rock,fire
Crawdaunt,3,water,dark
Cresselia,7,psychic,ice
Croagunk,12,fighting,dark
Crobat,6,flying,poison
Croconaw,3,water,ice
Crustle,5,rock,ground
Cryogonal,2,ice,poison
Cubchoo,2,ice,water
Cubone,5,rock,fighting
Cyndaquil,16,fire,fighting
Darkrai,0,dark,psychic
Darmanitan,16,fire,fighting
Darumaka,16,fire,fighting
Dedenne,11,electric,grass
Deerling,8,grass,fighting
Deino,14,dragon,dark
Delcatty,1,electric,psychic
Delibird,2,ice,flying
Delphox,16,fire,psychic
Deoxys,7,psychic,fighting
Deoxys-Attack,7,psychic,fighting
Deoxys-Defense,7,psychic,fighting
Deoxys-Speed,7,psychic,fighting
Dewgong,3,water,ice
Dewott,3,water,ice
Dialga,14,dragon,rock
Diancie,5,rock,psychic
Diggersby,12,fighting,ground
Diglett,5,ground,rock
Ditto,15,none,none
Dodrio,6,flying,dark
Doduo,6,flying,dark
Donphan,5,rock,poison
Doublade,5,steel,rock
Dragalge,17,poison,water
Dragonair,14,dragon,water
Dragonite,14,dragon,flying
Drapion,17,poison,dark
Dratini,14,dragon,water
Drifblim,1,psychic,ghost
Drifloon,1,psychic,ghost
Drilbur,5,rock,ground
Drowzee,7,psychic,fighting
Druddigon,0,dark,dragon
Ducklett,6,flying,water
Dugtrio,5,ground,rock
Dunsparce,1,rock,ghost
Duosion,7,psychic,rock
Durant,5,rock,bug
Dusclops,13,ghost,psychic
Dusknoir,13,ghost,psychic
Duskull,13,ghost,psychic
Dustox,10,bug,poison
Dwebble,5,rock,ground
Eelektrik,11,electric,poison
Eelektross,11,electric,dragon
Eevee,1,ground,psychic
Ekans,17,poison,dark
Electabuzz,1,fighting,electric
Electivire,11,electric,fighting
Electrike,11,electric,dark
Electrode,11,electric,dark
Elekid,11,electric,fighting
Elgyem,7,psychic,dark
Emboar,16,fire,fighting
Emolga,11,electric,flying
Empoleon,3,water,rock
Entei,16,fire,psychic
Escavalier,10,bug,fighting
Espeon,15,psychic,ground
Espurr,7,psychic,dark
Excadrill,5,ground,rock
Exeggcute,8,grass,psychic
Exeggutor,8,grass,psychic
Exploud,1,fire,fighting
Farfetch'd,6,flying,poison
Fearow,6,flying,dark
Feebas,3,water,ice
Fennekin,16,fire,psychic
Feraligatr,3,water,ice
Ferroseed,5,grass,rock
Ferrothorn,8,grass,rock
Finneon,3,water,ice
Flaaffy,11,electric,fighting
Flabebe,8,grass,psychic
Flareon,16,fire,fighting
Fletchinder,16,fire,flying
Fletchling,6,flying,fire
Floatzel,3,water,ice
Floette,8,grass,psychic
Floette-Eternal,8,grass,psychic
Florges,8,grass,psychic
Flygon,14,dragon,bug
Foongus,8,grass,poison
Forretress,5,rock,ground
Fraxure,14,dragon,dark
Frillish,3,water,psychic
Froakie,3,water,rock
Frogadier,3,water,ice
Froslass,2,ice,dark
Furfrou,1,dark,electric
Furret,1,fighting,water
Gabite,14,dragon,rock
Gallade,7,psychic,fighting
Galvantula,10,bug,electric
Garbodor,17,poison,rock
Gardevoir,7,psychic,ghost
Gastly,13,ghost,psychic
Gastrodon,3,water,poison
Genesect,10,bug,electric
Gengar,13,ghost,poison
Geodude,5,rock,fighting
Gible,14,dragon,rock
Gigalith,5,rock,ground
Girafarig,7,psychic,dark
Giratina,14,dragon,psychic
Giratina-Origin,14,dragon,psychic
Glaceon,1,ice,psychic
Glalie,2,ice,dark
Glameow,1,dark,water
Gligar,17,poison,rock
Gliscor,17,poison,rock
Gloom,8,grass,poison
Gogoat,8,grass,fighting
Golbat,6,flying,dark
Goldeen,3,water,ice
Golduck,3,water,psychic
Golem,5,rock,fighting
Golett,12,fighting,rock
Golurk,5,fighting,rock
Goodra,14,poison,dragon
Goomy,17,poison,water
Gorebyss,3,water,psychic
Gothita,7,psychic,dark
Gothitelle,7,psychic,dark
Gothorita,7,psychic,dark
Gourgeist,13,grass,psychic
Gourgeist-Large,9,none,none
Gourgeist-Small,9,none,none
Gourgeist-Super,9,none,none
Granbull,1,fighting,fire
Graveler,5,rock,fighting
Greninja,3,water,dark
Grimer,17,poison,fire
Grotle,8,grass,rock
Grovyle,8,grass,fighting
Growlithe,16,fire,fighting
Grumpig,7,psychic,fighting
Gulpin,17,poison,ghost
Gurdurr,12,fighting,rock
Gyarados,3,water,dragon
Happiny,1,psychic,fire
Hariyama,12,fighting,rock
Haunter,13,ghost,poison
Hawlucha,12,fighting,flying
Haxorus,14,dragon,fighting
Heatmor,16,fire,dark
Heliolisk,11,electric,rock
Helioptile,11,electric,rock
Heracross,12,fighting,rock
Herdier,1,electric,dark
Hippopotas,5,ground,rock
Hippowdon,5,rock,ground
Hitmonchan,12,fighting,rock
Hitmonlee,12,fighting,rock
Hitmontop,12,fighting,rock
Honchkrow,0,dark,flying
Honedge,5,steel,rock
Ho-Oh,6,flying,fire
Hoopa,7,psychic,dark
Hoopa-Unbound,7,psychic,dark
Hoothoot,6,flying,psychic
Hoppip,8,grass,poison
Horsea,3,water,dragon
Houndoom,0,dark,fire
Houndour,0,dark,fire
Huntail,3,water,ice
Hydreigon,14,dragon,dark
Hypno,7,psychic,fighting
Igglybuff,15,psychic,fire
Illumise,1,bug,flying
Inkay,0,dark,psychic
Ivysaur,8,grass,poison
Jellicent,3,water,psychic
Jigglypuff,1,psychic,fighting
Jirachi,7,psychic,electric
Jolteon,1,electric,psychic
Joltik,10,bug,poison
Jumpluff,8,grass,poison
Jynx,7,psychic,ice
Kabuto,3,rock,water
Kabutops,3,rock,water
Kadabra,7,psychic,dark
Kakuna,4,poison,bug
Kangaskhan,1,fighting,ice
Karrablast,10,bug,poison
Kecleon,1,fighting,psychic
Keldeo,3,water,fighting
Kingdra,3,water,dragon
Kingler,3,water,rock
Kirlia,7,psychic,ghost
Klang,11,electric,steel
Klefki,15,psychic,fairy
Klink,11,electric,steel
Klinklang,11,electric,steel
Koffing,17,poison,dark
Krabby,3,water,ice
Kricketot,4,bug,ground
Kricketune,10,bug,dark
Krokorok,0,dark,rock
Krookodile,0,dark,rock
Kyogre,3,water,ice
Kyurem,14,dragon,psychic
Kyurem-Black,14,dragon,ice
Kyurem-White,14,dragon,ice
Lairon,5,rock,steel
Lampent,13,fire,psychic
Landorus,5,rock,ground
Landorus-Therian,5,rock,ground
Lanturn,3,water,electric
Lapras,3,water,ice
Larvesta,16,fire,bug
Larvitar,5,rock,dark
Latias,7,psychic,water
Latios,7,psychic,dragon
Leafeon,8,grass,ground
Leavanny,10,grass,bug
Ledian,10,bug,fighting
Ledyba,10,bug,flying
Lickilicky,1,fighting,water
Lickitung,1,water,fighting
Liepard,0,dark,psychic
Lileep,8,grass,rock
Lilligant,8,grass,psychic
Lillipup,1,electric,dark
Linoone,1,electric,water
Litleo,16,fire,dark
Litwick,13,fire,psychic
Lombre,3,water,grass
Lopunny,1,fighting,electric
Lotad,8,grass,water
Loudred,1,fighting,fire
Lucario,12,fighting,psychic
Ludicolo,3,water,grass
Lugia,14,psychic,flying
Lumineon,3,water,ice
Lunatone,7,psychic,rock
Luvdisc,3,water,ice
Luxio,11,electric,dark
Luxray,11,electric,dark
Machamp,12,fighting,rock
Machoke,12,fighting,fire
Machop,12,fighting,fire
Magby,16,fire,fighting
Magcargo,5,rock,fire
Magikarp,15,water,flying
Magmar,16,fire,fighting
Magmortar,16,fire,fighting
Magnemite,11,electric,steel
Magneton,11,electric,steel
Magnezone,11,electric,psychic
Makuhita,12,fighting,rock
Malamar,0,dark,psychic
Mamoswine,2,ice,rock
Manaphy,3,water,psychic
Mandibuzz,0,dark,flying
Manectric,11,electric,fire
Mankey,12,fighting,dark
Mantine,3,water,flying
Mantyke,3,water,flying
Maractus,8,grass,poison
Mareep,11,electric,psychic
Marill,3,water,ice
Marowak,5,rock,fighting
Marshtomp,3,water,rock
Masquerain,10,bug,water
Mawile,1,dark,rock
Medicham,12,psychic,fighting
Meditite,12,psychic,fighting
Meganium,8,grass,psychic
Meloetta,7,psychic,fighting
Meowstic-F,7,psychic,dark
Meowstic-M,7,psychic,dark
Meowth,1,dark,ghost
Metagross,5,psychic,rock
Metang,5,psychic,rock
Metapod,4,bug,electric
Mew,14,psychic,dark
Mewtwo,7,psychic,fighting
Mienfoo,12,fighting,psychic
Mienshao,12,fighting,rock
Mightyena,1,dark,fire
Milotic,3,water,ice
Miltank,1,fighting,rock
Mime Jr.,7,psychic,dark
Minccino,1,dark,electric
Minun,11,electric,dark
Misdreavus,13,psychic,ghost
Mismagius,13,psychic,ghost
Moltres,6,flying,fire
Monferno,16,fire,fighting
Mothim,10,bug,flying
Mr. Mime,7,psychic,fighting
Mudkip,3,water,rock
Muk,17,poison,dark
Munchlax,1,rock,fire
Munna,7,psychic,rock
Murkrow,0,flying,dark
Musharna,7,psychic,rock
Natu,7,psychic,flying
Nidoking,17,poison,rock
Nidoqueen,17,poison,dark
Nidoran-F,17,poison,dark
Nidoran-M,17,poison,dark
Nidorina,17,poison,dark
Nidorino,17,poison,dark
Nincada,10,bug,ground
Ninetales,16,fire,psychic
Ninjask,10,bug,flying
Noctowl,6,flying,psychic
Noibat,6,flying,dark
Noivern,6,flying,dark
Nosepass,5,rock,electric
Numel,16,fire,rock
Nuzleaf,8,grass,dark
Octillery,3,water,poison
Oddish,8,grass,poison
Omanyte,3,water,rock
Omastar,3,water,rock
Onix,5,rock,ground
Oshawott,3,water,ice
Pachirisu,11,electric,dark
Palkia,14,dragon,water
Palpitoad,3,water,poison
Pancham,12,fighting,dark
Pangoro,12,fighting,dark
Panpour,3,water,dark
Pansage,8,grass,dark
Pansear,16,fire,dark
Paras,8,grass,poison
Parasect,8,grass,poison
Patrat,1,dark,fighting
Pawniard,0,dark,rock
Pelipper,6,water,flying
Persian,1,dark,ghost
Petilil,8,grass,psychic
Phanpy,5,rock,ground
Phantump,13,grass,psychic
Phione,3,water,ice
Pichu,1,electric,fighting
Pidgeot,6,flying,dark
Pidgeotto,6,flying,dark
Pidgey,6,flying,dark
Pidove,6,flying,fire
Pignite,16,fire,fighting
Pikachu,1,electric,fighting
Piloswine,2,ice,rock
Pineco,5,rock,ground
Pinsir,12,fighting,rock
Piplup,3,water,ice
Plusle,11,electric,water
Politoed,3,water,ice
Poliwag,3,water,ice
Poliwhirl,3,water,ice
Poliwrath,3,water,fighting
Ponyta,16,fire,psychic
Poochyena,1,dark,fire
Porygon,7,psychic,electric
Porygon2,7,psychic,electric
Porygon-Z,7,psychic,electric
Primeape,12,fighting,dark
Prinplup,3,water,ice
Probopass,5,rock,electric
Psyduck,3,water,psychic
Pumpkaboo,13,grass,psychic
Pumpkaboo-Large,9,none,none
Pumpkaboo-Small,9,none,none
Pumpkaboo-Super,9,none,none
Pupitar,5,rock,dark
Purrloin,0,dark,psychic
Purugly,1,dark,ground
Pyroar,16,fire,dark
Quagsire,3,water,ice
Quilava,16,fire,fighting
Quilladin,8,grass,fighting
Qwilfish,3,water,poison
Raichu,1,electric,fighting
Raikou,11,electric,psychic
Ralts,7,psychic,ghost
Rampardos,5,rock,fire
Rapidash,16,fire,poison
Raticate,1,dark,electric
Rattata,1,dark,electric
Regice,5,fighting,rock
Regigigas,5,rock,fighting
Regirock,5,rock,fighting
Registeel,5,rock,fighting
Relicanth,3,water,rock
Remoraid,3,water,ice
Reshiram,14,fire,dragon
Reuniclus,7,psychic,fighting
Rhydon,5,rock,fighting
Rhyhorn,5,rock,ground
Rhyperior,5,rock,fighting
Riolu,12,fighting,ground
Roggenrola,5,rock,ground
Roselia,8,grass,poison
Roserade,8,grass,poison
Rotom,11,electric,psychic
Rotom-Fan,11,electric,psychic
Rotom-Frost,11,electric,psychic
Rotom-Heat,11,electric,psychic
Rotom-Mow,11,electric,psychic
Rotom-Wash,11,electric,psychic
Rufflet,6,flying,rock
Sableye,0,dark,psychic
Salamence,14,dragon,fire
Samurott,3,water,ice
Sandile,0,dark,rock
Sandshrew,5,ground,rock
Sandslash,5,rock,ground
Sawk,12,fighting,rock
Sawsbuck,8,grass,fighting
Scatterbug,4,bug,poison
Sceptile,8,grass,fighting
Scizor,10,bug,flying
Scolipede,17,poison,bug
Scrafty,12,fighting,dark
Scraggy,12,fighting,dark
Scyther,10,bug,flying
Seadra,3,water,dragon
Seaking,3,water,ice
Sealeo,3,water,ice
Seedot,8,grass,psychic
Seel,3,water,ice
Seismitoad,3,water,poison
Sentret,1,water,fighting
Serperior,8,grass,dragon
Servine,8,grass,psychic
Seviper,17,poison,dark
Sewaddle,10,bug,grass
Sharpedo,3,water,dark
Shaymin,8,grass,psychic
Shaymin-Sky,8,grass,psychic
Shedinja,10,bug,ghost
Shelgon,14,dragon,fire
Shellder,3,water,ice
Shellos,3,water,ice
Shelmet,10,bug,poison
Shieldon,5,rock,ground
Shiftry,8,grass,dark
Shinx,11,electric,dark
Shroomish,8,grass,poison
Shuckle,5,rock,poison
Shuppet,13,ghost,psychic
Sigilyph,7,psychic,flying
Silcoon,4,poison,bug
Simipour,3,water,dark
Simisage,8,grass,dark
Simisear,16,fire,dark
Skarmory,6,flying,dark
Skiddo,8,grass,rock
Skiploom,8,grass,poison
Skitty,1,electric,psychic
Skorupi,17,poison,dark
Skrelp,17,poison,water
Skuntank,17,dark,poison
Slaking,1,fighting,dark
Slakoth,1,fighting,fire
Sliggoo,17,poison,water
Slowbro,7,psychic,water
Slowking,7,psychic,water
Slowpoke,7,psychic,water
Slugma,16,fire,rock
Slurpuff,15,psychic,grass
Smeargle,15,none,none
Smoochum,7,psychic,ice
Sneasel,0,dark,ice
Snivy,8,grass,psychic
Snorlax,1,fighting,rock
Snorunt,2,ice,dark
Snover,8,grass,ice
Snubbull,1,fighting,fire
Solosis,7,psychic,rock
Solrock,7,psychic,rock
Spearow,6,flying,dark
Spewpa,4,bug,poison
Spheal,3,water,ice
Spinarak,10,poison,bug
Spinda,1,psychic,fighting
Spiritomb,13,dark,psychic
Spoink,7,psychic,dark
Spritzee,15,psychic,fairy
Squirtle,3,water,ice
Stantler,7,psychic,electric
Staraptor,6,flying,fighting
Staravia,6,flying,fighting
Starly,6,flying,fighting
Starmie,3,psychic,water
Staryu,3,water,psychic
Steelix,5,rock,ground
Steelix-Mega,5,rock,ground
Stoutland,1,electric,dark
Stunfisk,11,electric,water
Stunky,0,dark,poison
Sudowoodo,5,rock,fighting
Suicune,3,water,ice
Sunflora,8,grass,poison
Sunkern,8,grass,poison
Surskit,3,water,bug
Swablu,6,flying,dragon
Swadloon,10,grass,bug
Swalot,17,poison,ghost
Swampert,3,water,rock
Swanna,6,flying,water
Swellow,6,flying,fire
Swinub,2,ice,ground
Swirlix,15,psychic,grass
Swoobat,7,psychic,flying
Sylveon,15,psychic,fairy
Taillow,6,flying,fire
Talonflame,16,fire,flying
Tangela,8,grass,poison
Tangrowth,8,grass,poison
Tauros,1,rock,fire
Teddiursa,1,fighting,dark
Tentacool,3,water,poison
Tentacruel,3,water,poison
Tepig,16,fire,rock
Terrakion,5,rock,fighting
Throh,12,fighting,rock
Thundurus,11,electric,dark
Thundurus-Therian,11,electric,dark
Timburr,12,fighting,rock
Tirtouga,3,rock,water
Togekiss,15,psychic,flying
Togepi,15,psychic,fire
Togetic,15,psychic,flying
Torchic,16,fire,fighting
Torkoal,16,fire,rock
Tornadus,0,dark,flying
Tornadus-Therian,0,dark,flying
Torterra,8,grass,rock
Totodile,3,water,ice
Toxicroak,12,fighting,dark
Tranquill,6,flying,fire
Trapinch,5,ground,bug
Treecko,8,grass,fighting
Trevenant,13,grass,psychic
Tropius,8,grass,flying
Trubbish,17,poison,dark
Turtwig,8,grass,rock
Tympole,3,water,poison
Tynamo,11,electric,ground
Typhlosion,16,fire,fighting
Tyranitar,5,rock,dark
Tyrantrum,5,rock,dragon
Tyrogue,1,fighting,ground
Tyrunt,14,rock,dragon
Umbreon,1,dark,psychic
Unfezant,6,flying,fire
Unown,14,fire,water
Ursaring,1,fighting,dark
Uxie,7,psychic,electric
Vanillish,2,ice,psychic
Vanillite,2,ice,psychic
Vanilluxe,2,ice,psychic
Vaporeon,3,water,ice
Venipede,17,poison,bug
Venomoth,10,bug,poison
Venonat,10,poison,bug
Venusaur,8,grass,poison
Vespiquen,10,bug,flying
Vibrava,5,ground,flying
Victini,16,fire,psychic
Victreebel,8,grass,poison
Vigoroth,1,fighting,fire
Vileplume,8,grass,poison
Virizion,8,grass,fighting
Vivillon,10,bug,flying
Volbeat,10,bug,flying
Volcanion,16,fire,rock
Volcarona,10,fire,bug
Voltorb,11,electric,dark
Vullaby,0,dark,flying
Vulpix,16,fire,psychic
Wailmer,3,water,ice
Wailord,3,water,ice
Walrein,3,water,ice
Wartortle,3,water,ice
Watchog,1,fighting,dark
Weavile,0,dark,ice
Weedle,4,poison,bug
Weepinbell,8,grass,poison
Weezing,17,poison,dark
Whimsicott,8,grass,dark
Whirlipede,17,poison,bug
Whiscash,3,water,ground
Whismur,1,fire,ice
Wigglytuff,15,psychic,fighting
Wingull,6,flying,water
Wobbuffet,15,fighting,psychic
Woobat,7,psychic,flying
Wooper,3,water,ice
Wormadam,8,grass,psychic
Wormadam-Sandy,5,psychic,bug
Wormadam-Trash,10,psychic,bug
Wurmple,4,poison,bug
Wynaut,15,fighting,psychic
Xatu,7,psychic,flying
Yamask,13,psychic,ghost
Yanma,10,flying,bug
Yanmega,10,bug,flying
Yveltal,0,flying,dark
Zangoose,1,fighting,dark
Zapdos,6,flying,electric
Zebstrika,11,electric,psychic
Zekrom,14,electric,dragon
Zigzagoon,1,electric,water
Zoroark,0,dark,fighting
Zorua,0,dark,psychic
Zubat,6,flying,dark
Zweilous,14,dragon,dark
Zygarde,14,dragon,ground
