Pokemon,cluster_p1,tipo_dominante,segundo_tipo
Hawlucha,13,fighting,flying
Haxorus,8,dragon,fighting
Heatmor,17,fire,dark
Heliolisk,11,electric,rock
Helioptile,11,electric,rock
Heracross,1,fighting,rock
Herdier,14,electric,dark
Hippopotas,7,ground,rock
Hippowdon,7,rock,ground
Hitmonchan,1,fighting,rock
Hitmonlee,1,fighting,rock
Hitmontop,1,fighting,rock
Honchkrow,13,dark,flying
Honedge,7,steel,rock
Ho-Oh,13,flying,fire
Hoopa,6,psychic,dark
Hoopa-Unbound,6,psychic,dark
Hoothoot,13,flying,psychic
Hoppip,5,grass,poison
Horsea,3,water,dragon
Houndoom,9,dark,fire
Houndour,9,dark,fire
Huntail,3,water,ice
Hydreigon,8,dragon,dark
Hypno,6,psychic,fighting
Igglybuff,14,psychic,fire
Illumise,16,bug,flying
Inkay,9,dark,psychic
Ivysaur,5,grass,poison
Jellicent,4,water,psychic
Jigglypuff,14,psychic,fighting
Jirachi,6,psychic,electric
Jolteon,14,electric,psychic
Joltik,11,bug,poison
Jumpluff,5,grass,poison
Jynx,6,psychic,ice
Kabuto,3,rock,water
Kabutops,12,rock,water
Kadabra,6,psychic,dark
Kakuna,15,poison,bug
Kangaskhan,10,fighting,ice
Karrablast,16,bug,poison
Kecleon,10,fighting,psychic
Keldeo,3,water,fighting
Kingdra,3,water,dragon
Kingler,12,water,rock
Kirlia,6,psychic,ghost
Klang,11,electric,steel
Klefki,0,psychic,fairy
Klink,11,electric,steel
Klinklang,11,electric,steel
Koffing,4,poison,dark
Krabby,12,water,ice
Kricketot,15,bug,ground
Kricketune,16,bug,dark
Krokorok,9,dark,rock
Krookodile,9,dark,rock
Kyogre,3,water,ice
Kyurem,8,dragon,psychic
Kyurem-Black,8,dragon,ice
Kyurem-White,8,dragon,ice
Lairon,7,rock,steel
Lampent,4,fire,psychic
Landorus,7,rock,ground
Landorus-Therian,7,rock,ground
Lanturn,3,water,electric
Lapras,3,water,ice
Larvesta,17,fire,bug
Larvitar,7,rock,dark
Latias,6,psychic,water
Latios,6,psychic,dragon
Leafeon,14,grass,ground
Leavanny,5,grass,bug
Ledian,16,bug,fighting
Ledyba,16,bug,flying
Lickilicky,7,fighting,water
Lickitung,7,water,fighting
Liepard,9,dark,psychic
Lileep,5,grass,rock
Lilligant,5,grass,psychic
Lillipup,14,electric,dark
Linoone,10,electric,water
Litleo,17,fire,dark
Litwick,4,fire,psychic
Lombre,12,water,grass
Lopunny,14,fighting,electric
Lotad,5,grass,water
Loudred,7,fighting,fire
Lucario,1,fighting,psychic
Ludicolo,12,water,grass
Lugia,13,psychic,flying
Lumineon,3,water,ice
Lunatone,0,psychic,rock
Luvdisc,3,water,ice
Luxio,11,electric,dark
Luxray,11,electric,dark
Machamp,1,fighting,rock
Machoke,1,fighting,fire
Machop,1,fighting,fire
Magby,17,fire,fighting
Magcargo,7,rock,fire
Magikarp,15,water,flying
Magmar,17,fire,fighting
Magmortar,17,fire,fighting
Magnemite,11,electric,steel
Magneton,11,electric,steel
Magnezone,11,electric,psychic
Makuhita,1,fighting,rock
Malamar,9,dark,psychic
Mamoswine,12,ice,rock
Manaphy,3,water,psychic
Mandibuzz,13,dark,flying
Manectric,11,electric,fire
Mankey,1,fighting,dark
Mantine,3,water,flying
Mantyke,3,water,flying
Maractus,5,grass,poison
Mareep,11,electric,psychic
Marill,12,water,ice
Marowak,7,rock,fighting
Marshtomp,12,water,rock
Masquerain,16,bug,water
Mawile,9,dark,rock
Medicham,1,psychic,fighting
Meditite,1,psychic,fighting
Meganium,5,grass,psychic
Meloetta,6,psychic,fighting
Meowstic-F,6,psychic,dark
Meowstic-M,6,psychic,dark
Meowth,9,dark,ghost
Metagross,7,psychic,rock
Metang,7,psychic,rock
Metapod,15,bug,electric
Mew,6,psychic,dark
Mewtwo,6,psychic,fighting
Mienfoo,1,fighting,psychic
Mienshao,1,fighting,rock
Mightyena,9,dark,fire
Milotic,3,water,ice
Miltank,7,fighting,rock
Mime Jr.,6,psychic,dark
Minccino,14,dark,electric
Minun,14,electric,dark
Misdreavus,4,psychic,ghost
Mismagius,4,psychic,ghost
Moltres,13,flying,fire
Monferno,17,fire,fighting
Mothim,16,bug,flying
Mr. Mime,6,psychic,fighting
Mudkip,12,water,rock
Muk,4,poison,dark
Munchlax,7,rock,fire
Munna,0,psychic,rock
Murkrow,13,flying,dark
Musharna,0,psychic,rock
Natu,6,psychic,flying
Nidoking,10,poison,rock
Nidoqueen,10,poison,dark
Nidoran-F,10,poison,dark
Nidoran-M,10,poison,dark
Nidorina,10,poison,dark
Nidorino,10,poison,dark
Nincada,16,bug,ground
Ninetales,4,fire,psychic
Ninjask,16,bug,flying
Noctowl,13,flying,psychic
Noibat,13,flying,dark
Noivern,13,flying,dark
Nosepass,7,rock,electric
Numel,7,fire,rock
Nuzleaf,5,grass,dark
Octillery,3,water,poison
Oddish,5,grass,poison
Omanyte,3,water,rock
Omastar,3,water,rock
Onix,7,rock,ground
Oshawott,12,water,ice
Pachirisu,11,electric,dark
Palkia,8,dragon,water
Palpitoad,3,water,poison
Pancham,9,fighting,dark
Pangoro,9,fighting,dark
Panpour,12,water,dark
Pansage,5,grass,dark
Pansear,17,fire,dark
Paras,5,grass,poison
Parasect,5,grass,poison
Patrat,10,dark,fighting
Pawniard,9,dark,rock
Pelipper,13,water,flying
Persian,9,dark,ghost
Petilil,5,grass,psychic
Phanpy,7,rock,ground
Phantump,4,grass,psychic
Phione,3,water,ice
Pichu,14,electric,fighting
Pidgeot,13,flying,dark
Pidgeotto,13,flying,dark
Pidgey,13,flying,dark
Pidove,13,flying,fire
Pignite,17,fire,fighting
Pikachu,14,electric,fighting
Piloswine,12,ice,rock
Pineco,7,rock,ground
Pinsir,1,fighting,rock
Piplup,12,water,ice
Plusle,14,electric,water
Politoed,3,water,ice
Poliwag,3,water,ice
Poliwhirl,3,water,ice
Poliwrath,3,water,fighting
Ponyta,17,fire,psychic
Poochyena,9,dark,fire
Porygon,0,psychic,electric
Porygon2,0,psychic,electric
Porygon-Z,0,psychic,electric
Primeape,1,fighting,dark
Prinplup,12,water,ice
Probopass,7,rock,electric
Psyduck,12,water,psychic
Pumpkaboo,4,grass,psychic
Pumpkaboo-Large,15,none,none
Pumpkaboo-Small,15,none,none
Pumpkaboo-Super,15,none,none
Pupitar,7,rock,dark
Purrloin,9,dark,psychic
Purugly,10,dark,ground
Pyroar,17,fire,dark
Quagsire,3,water,ice
Quilava,17,fire,fighting
Quilladin,7,grass,fighting
Qwilfish,3,water,poison
Raichu,14,electric,fighting
Raikou,11,electric,psychic
Ralts,6,psychic,ghost
Rampardos,7,rock,fire
Rapidash,17,fire,poison
Raticate,10,dark,electric
Rattata,10,dark,electric
Regice,7,fighting,rock
Regigigas,7,rock,fighting
Regirock,7,rock,fighting
Registeel,7,rock,fighting
Relicanth,3,water,rock
Remoraid,3,water,ice
Reshiram,8,fire,dragon
Reuniclus,0,psychic,fighting
Rhydon,7,rock,fighting
Rhyhorn,7,rock,ground
Rhyperior,7,rock,fighting
Riolu,1,fighting,ground
Roggenrola,7,rock,ground
Roselia,5,grass,poison
Roserade,5,grass,poison
Rotom,11,electric,psychic
Rotom-Fan,11,electric,psychic
Rotom-Frost,11,electric,psychic
Rotom-Heat,11,electric,psychic
Rotom-Mow,11,electric,psychic
Rotom-Wash,11,electric,psychic
Rufflet,13,flying,rock
Sableye,9,dark,psychic
Salamence,8,dragon,fire
Samurott,12,water,ice
Sandile,9,dark,rock
Sandshrew,10,ground,rock
Sandslash,10,rock,ground
Sawk,1,fighting,rock
Sawsbuck,5,grass,fighting
Scatterbug,15,bug,poison
Sceptile,5,grass,fighting
Scizor,16,bug,flying
Scolipede,7,poison,bug
Scrafty,9,fighting,dark
Scraggy,9,fighting,dark
Scyther,16,bug,flying
Seadra,3,water,dragon
Seaking,3,water,ice
Sealeo,3,water,ice
Seedot,5,grass,psychic
Seel,3,water,ice
Seismitoad,3,water,poison
Sentret,10,water,fighting
Serperior,5,grass,dragon
Servine,5,grass,psychic
Seviper,9,poison,dark
Sewaddle,5,bug,grass
Sharpedo,12,water,dark
Shaymin,5,grass,psychic
Shaymin-Sky,5,grass,psychic
Shedinja,16,bug,ghost
Shelgon,8,dragon,fire
Shellder,3,water,ice
Shellos,3,water,ice
Shelmet,16,bug,poison
Shieldon,7,rock,ground
Shiftry,5,grass,dark
Shinx,11,electric,dark
Shroomish,5,grass,poison
Shuckle,7,rock,poison
Shuppet,4,ghost,psychic
Sigilyph,6,psychic,flying
Silcoon,15,poison,bug
Simipour,12,water,dark
Simisage,5,grass,dark
Simisear,17,fire,dark
Skarmory,13,flying,dark
Skiddo,5,grass,rock
Skiploom,5,grass,poison
Skitty,14,electric,psychic
Skorupi,9,poison,dark
Skrelp,3,poison,water
Skuntank,9,dark,poison
Slaking,10,fighting,dark
Slakoth,10,fighting,fire
Sliggoo,8,poison,water
Slowbro,6,psychic,water
Slowking,6,psychic,water
Slowpoke,6,psychic,water
Slugma,4,fire,rock
Slurpuff,14,psychic,grass
Smeargle,15,none,none
Smoochum,6,psychic,ice
Sneasel,9,dark,ice
Snivy,5,grass,psychic
Snorlax,7,fighting,rock
Snorunt,12,ice,dark
Snover,5,grass,ice
Snubbull,14,fighting,fire
Solosis,0,psychic,rock
Solrock,0,psychic,rock
Spearow,13,flying,dark
Spewpa,15,bug,poison
Spheal,3,water,ice
Spinarak,16,poison,bug
Spinda,14,psychic,fighting
Spiritomb,4,dark,psychic
Spoink,6,psychic,dark
Spritzee,0,psychic,fairy
Squirtle,12,water,ice
Stantler,6,psychic,electric
Staraptor,13,flying,fighting
Staravia,13,flying,fighting
Starly,13,flying,fighting
Starmie,0,psychic,water
Staryu,3,water,psychic
Steelix,7,rock,ground
Steelix-Mega,7,rock,ground
Stoutland,14,electric,dark
Stunfisk,7,electric,water
Stunky,9,dark,poison
Sudowoodo,7,rock,fighting
Suicune,3,water,ice
Sunflora,5,grass,poison
Sunkern,5,grass,poison
Surskit,3,water,bug
Swablu,13,flying,dragon
Swadloon,5,grass,bug
Swalot,4,poison,ghost
Swampert,12,water,rock
Swanna,13,flying,water
Swellow,13,flying,fire
Swinub,12,ice,ground
Swirlix,14,psychic,grass
Swoobat,6,psychic,flying
Sylveon,14,psychic,fairy
Taillow,13,flying,fire
Talonflame,13,fire,flying
Tangela,5,grass,poison
Tangrowth,5,grass,poison
Tauros,8,rock,fire
Teddiursa,10,fighting,dark
Tentacool,3,water,poison
Tentacruel,3,water,poison
Tepig,17,fire,rock
Terrakion,7,rock,fighting
Throh,1,fighting,rock
Thundurus,11,electric,dark
Thundurus-Therian,11,electric,dark
Timburr,1,fighting,rock
Tirtouga,7,rock,water
Togekiss,14,psychic,flying
Togepi,14,psychic,fire
Togetic,14,psychic,flying
Torchic,17,fire,fighting
Torkoal,7,fire,rock
Tornadus,9,dark,flying
Tornadus-Therian,9,dark,flying
Torterra,5,grass,rock
Totodile,12,water,ice
Toxicroak,1,fighting,dark
Tranquill,13,flying,fire
Trapinch,16,ground,bug
Treecko,5,grass,fighting
Trevenant,4,grass,psychic
Tropius,5,grass,flying
Trubbish,4,poison,dark
Turtwig,5,grass,rock
Tympole,3,water,poison
Tynamo,11,electric,ground
Typhlosion,17,fire,fighting
Tyranitar,7,rock,dark
Tyrantrum,8,rock,dragon
Tyrogue,1,fighting,ground
Tyrunt,8,rock,dragon
Umbreon,14,dark,psychic
Unfezant,13,flying,fire
Unown,15,fire,water
Ursaring,10,fighting,dark
Uxie,6,psychic,electric
Vanillish,11,ice,psychic
Vanillite,11,ice,psychic
Vanilluxe,11,ice,psychic
Vaporeon,14,water,ice
Venipede,7,poison,bug
Venomoth,16,bug,poison
Venonat,16,poison,bug
Venusaur,5,grass,poison
Vespiquen,16,bug,flying
Vibrava,16,ground,flying
Victini,6,fire,psychic
Victreebel,5,grass,poison
Vigoroth,10,fighting,fire
Vileplume,5,grass,poison
Virizion,5,grass,fighting
Vivillon,16,bug,flying
Volbeat,16,bug,flying
Volcanion,7,fire,rock
Volcarona,16,fire,bug
Voltorb,11,electric,dark
Vullaby,13,dark,flying
Vulpix,4,fire,psychic
Wailmer,3,water,ice
Wailord,3,water,ice
Walrein,3,water,ice
Wartortle,12,water,ice
Watchog,10,fighting,dark
Weavile,9,dark,ice
Weedle,15,poison,bug
Weepinbell,5,grass,poison
Weezing,4,poison,dark
Whimsicott,5,grass,dark
Whirlipede,7,poison,bug
Whiscash,3,water,ground
Whismur,14,fire,ice
Wigglytuff,14,psychic,fighting
Wingull,13,flying,water
Wobbuffet,15,fighting,psychic
Woobat,6,psychic,flying
Wooper,3,water,ice
Wormadam,5,grass,psychic
Wormadam-Sandy,16,psychic,bug
Wormadam-Trash,0,psychic,bug
Wurmple,15,poison,bug
Wynaut,15,fighting,psychic
Xatu,6,psychic,flying
Yamask,4,psychic,ghost
Yanma,16,flying,bug
Yanmega,16,bug,flying
Yveltal,13,flying,dark
Zangoose,10,fighting,dark
Zapdos,13,flying,electric
Zebstrika,11,electric,psychic
Zekrom,8,electric,dragon
Zigzagoon,10,electric,water
Zoroark,9,dark,fighting
Zorua,9,dark,psychic
Zubat,13,flying,dark
Zweilous,8,dragon,dark
Zygarde,8,dragon,ground
