Pokemon,cluster_p2
Entei,16
Escavalier,10
Espeon,15
Espurr,7
Excadrill,5
Exeggcute,8
Exeggutor,8
Exploud,1
Farfetch'd,6
Fearow,6
Feebas,3
Fennekin,16
Feraligatr,3
Ferroseed,5
Ferrothorn,8
Finneon,3
Flaaffy,11
Flabebe,8
Flareon,16
Fletchinder,16
Fletchling,6
Floatzel,3
Floette,8
Floette-Eternal,8
Florges,8
Flygon,14
Foongus,8
Forretress,5
Fraxure,14
Frillish,3
Froakie,3
Frogadier,3
Froslass,2
Furfrou,1
Furret,1
Gabite,14
Gallade,7
Galvantula,10
Garbodor,17
Gardevoir,7
Gastly,13
Gastrodon,3
Genesect,10
Gengar,13
Geodude,5
Gible,14
Gigalith,5
Girafarig,7
Giratina,14
Giratina-Origin,14
Glaceon,1
Glalie,2
Glameow,1
Gligar,17
Gliscor,17
Gloom,8
Gogoat,8
Golbat,6
Goldeen,3
Golduck,3
Golem,5
Golett,12
Golurk,5
Goodra,14
Goomy,17
Gorebyss,3
Gothita,7
Gothitelle,7
Gothorita,7
Gourgeist,13
Gourgeist-Large,9
Gourgeist-Small,9
Gourgeist-Super,9
Granbull,1
Graveler,5
Greninja,3
Grimer,17
Grotle,8
Grovyle,8
Growlithe,16
Grumpig,7
Gulpin,17
Gurdurr,12
Gyarados,3
Happiny,1
Hariyama,12
Haunter,13
Hawlucha,12
Haxorus,14
Heatmor,16
Heliolisk,11
Helioptile,11
Heracross,12
Herdier,1
Hippopotas,5
Hippowdon,5
Hitmonchan,12
Hitmonlee,12
Hitmontop,12
Honchkrow,0
Honedge,5
Ho-Oh,6
Hoopa,7
Hoopa-Unbound,7
Hoothoot,6
Hoppip,8
Horsea,3
Houndoom,0
Houndour,0
Huntail,3
Hydreigon,14
Hypno,7
Igglybuff,15
Illumise,1
Inkay,0
Ivysaur,8
Jellicent,3
Jigglypuff,1
Jirachi,7
Jolteon,1
Joltik,10
Jumpluff,8
Jynx,7
Kabuto,3
Kabutops,3
Kadabra,7
Kakuna,4
Kangaskhan,1
Karrablast,10
Kecleon,1
Keldeo,3
Kingdra,3
Kingler,3
Kirlia,7
Klang,11
Klefki,15
Klink,11
Klinklang,11
Koffing,17
Krabby,3
Kricketot,4
Kricketune,10
Krokorok,0
Krookodile,0
Kyogre,3
Kyurem,14
Kyurem-Black,14
Kyurem-White,14
Lairon,5
Lampent,13
Landorus,5
Landorus-Therian,5
Lanturn,3
Lapras,3
Larvesta,16
Larvitar,5
Latias,7
Latios,7
Leafeon,8
Leavanny,10
Ledian,10
Ledyba,10
Lickilicky,1
Lickitung,1
Liepard,0
Lileep,8
Lilligant,8
Lillipup,1
Linoone,1
Litleo,16
Litwick,13
Lombre,3
Lopunny,1
Lotad,8
Loudred,1
Lucario,12
Ludicolo,3
Lugia,14
Lumineon,3
Lunatone,7
Luvdisc,3
Luxio,11
Luxray,11
Machamp,12
Machoke,12
Machop,12
Magby,16
Magcargo,5
Magikarp,15
Magmar,16
Magmortar,16
Magnemite,11
Magneton,11
Magnezone,11
Makuhita,12
Malamar,0
Mamoswine,2
Manaphy,3
Mandibuzz,0
Manectric,11
Mankey,12
Mantine,3
Mantyke,3
Maractus,8
Mareep,11
Marill,3
Marowak,5
Marshtomp,3
Masquerain,10
Mawile,1
Medicham,12
Meditite,12
Meganium,8
Meloetta,7
Meowstic-F,7
Meowstic-M,7
Meowth,1
Metagross,5
Metang,5
Metapod,4
Mew,14
Mewtwo,7
Mienfoo,12
Mienshao,12
Mightyena,1
Milotic,3
Miltank,1
Mime Jr.,7
Minccino,1
Minun,11
Misdreavus,13
Mismagius,13
Moltres,6
Monferno,16
Mothim,10
Mr. Mime,7
Mudkip,3
Muk,17
Munchlax,1
Munna,7
Murkrow,0
Musharna,7
Natu,7
Nidoking,17
Nidoqueen,17
Nidoran-F,17
Nidoran-M,17
Nidorina,17
Nidorino,17
Nincada,10
Ninetales,16
Ninjask,10
Noctowl,6
Noibat,6
Noivern,6
Nosepass,5
Numel,16
Nuzleaf,8
Octillery,3
Oddish,8
Omanyte,3
Omastar,3
Onix,5
Oshawott,3
Pachirisu,11
Palkia,14
Palpitoad,3
Pancham,12
Pangoro,12
Panpour,3
Pansage,8
Pansear,16
Paras,8
Parasect,8
Patrat,1
Pawniard,0
Pelipper,6
Persian,1
Petilil,8
Phanpy,5
Phantump,13
Phione,3
Pichu,1
Pidgeot,6
Pidgeotto,6
Pidgey,6
Pidove,6
Pignite,16
Pikachu,1
Piloswine,2
Pineco,5
Pinsir,12
Piplup,3
Plusle,11
Politoed,3
Poliwag,3
Poliwhirl,3
Poliwrath,3
Ponyta,16
Poochyena,1
Porygon,7
Porygon2,7
Porygon-Z,7
Primeape,12
Prinplup,3
Probopass,5
Psyduck,3
Pumpkaboo,13
Pumpkaboo-Large,9
Pumpkaboo-Small,9
Pumpkaboo-Super,9
Pupitar,5
Purrloin,0
Purugly,1
Pyroar,16
Quagsire,3
Quilava,16
Quilladin,8
Qwilfish,3
Raichu,1
Raikou,11
Ralts,7
Rampardos,5
Rapidash,16
Raticate,1
Rattata,1
Regice,5
Regigigas,5
Regirock,5
Registeel,5
Relicanth,3
Remoraid,3
Reshiram,14
Reuniclus,7
Rhydon,5
Rhyhorn,5
Rhyperior,5
Riolu,12
Roggenrola,5
Roselia,8
Roserade,8
Rotom,11
Rotom-Fan,11
Rotom-Frost,11
Rotom-Heat,11
Rotom-Mow,11
Rotom-Wash,11
Rufflet,6
Sableye,0
Salamence,14
Samurott,3
Sandile,0
Sandshrew,5
Sandslash,5
Sawk,12
Sawsbuck,8
Scatterbug,4
Sceptile,8
Scizor,10
Scolipede,17
Scrafty,12
Scraggy,12
Scyther,10
Seadra,3
Seaking,3
Sealeo,3
Seedot,8
Seel,3
Seismitoad,3
Sentret,1
Serperior,8
Servine,8
Seviper,17
Sewaddle,10
Sharpedo,3
Shaymin,8
Shaymin-Sky,8
Shedinja,10
Shelgon,14
Shellder,3
Shellos,3
Shelmet,10
Shieldon,5
Shiftry,8
Shinx,11
Shroomish,8
Shuckle,5
Shuppet,13
Sigilyph,7
Silcoon,4
Simipour,3
Simisage,8
Simisear,16
Skarmory,6
Skiddo,8
Skiploom,8
Skitty,1
Skorupi,17
Skrelp,17
Skuntank,17
Slaking,1
Slakoth,1
Sliggoo,17
Slowbro,7
Slowking,7
Slowpoke,7
Slugma,16
Slurpuff,15
Smeargle,15
Smoochum,7
Sneasel,0
Snivy,8
Snorlax,1
Snorunt,2
Snover,8
Snubbull,1
Solosis,7
Solrock,7
Spearow,6
Spewpa,4
Spheal,3
Spinarak,10
Spinda,1
Spiritomb,13
Spoink,7
Spritzee,15
Squirtle,3
Stantler,7
Staraptor,6
Staravia,6
Starly,6
Starmie,3
Staryu,3
Steelix,5
Steelix-Mega,5
Stoutland,1
Stunfisk,11
Stunky,0
Sudowoodo,5
Suicune,3
Sunflora,8
Sunkern,8
Surskit,3
Swablu,6
Swadloon,10
Swalot,17
Swampert,3
Swanna,6
Swellow,6
Swinub,2
Swirlix,15
Swoobat,7
Sylveon,15
Taillow,6
Talonflame,16
Tangela,8
Tangrowth,8
Tauros,1
Teddiursa,1
Tentacool,3
Tentacruel,3
Tepig,16
Terrakion,5
Throh,12
Thundurus,11
Thundurus-Therian,11
Timburr,12
Tirtouga,3
Togekiss,15
Togepi,15
Togetic,15
Torchic,16
Torkoal,16
Tornadus,0
Tornadus-Therian,0
Torterra,8
Totodile,3
Toxicroak,12
Tranquill,6
Trapinch,5
Treecko,8
Trevenant,13
Tropius,8
Trubbish,17
Turtwig,8
Tympole,3
Tynamo,11
Typhlosion,16
Tyranitar,5
Tyrantrum,5
Tyrogue,1
Tyrunt,14
Umbreon,1
Unfezant,6
Unown,14
Ursaring,1
Uxie,7
Vanillish,2
Vanillite,2
Vanilluxe,2
Vaporeon,3
Venipede,17
Venomoth,10
Venonat,10
Venusaur,8
Vespiquen,10
Vibrava,5
Victini,16
Victreebel,8
Vigoroth,1
Vileplume,8
Virizion,8
Vivillon,10
Volbeat,10
Volcanion,16
Volcarona,10
Voltorb,11
Vullaby,0
Vulpix,16
Wailmer,3
Wailord,3
Walrein,3
Wartortle,3
Watchog,1
Weavile,0
Weedle,4
Weepinbell,8
Weezing,17
Whimsicott,8
Whirlipede,17
Whiscash,3
Whismur,1
Wigglytuff,15
Wingull,6
Wobbuffet,15
Woobat,7
Wooper,3
Wormadam,8
Wormadam-Sandy,5
Wormadam-Trash,10
Wurmple,4
Wynaut,15
Xatu,7
Yamask,13
Yanma,10
Yanmega,10
Yveltal,0
Zangoose,1
Zapdos,6
Zebstrika,11
Zekrom,14
Zigzagoon,1
Zoroark,0
Zorua,0
Zubat,6
Zweilous,14
Zygarde,14
