Pokemon,cluster_p1,cluster_p2,tipo_dominante,segundo_tipo,nombre_cluster_p1,nombre_cluster_p2
Dugtrio,10,5,ground,rock,fighting,rock
Dunsparce,7,1,rock,ghost,rock,fighting
Duosion,0,7,psychic,rock,psychic,psychic
Durant,7,5,rock,bug,rock,rock
Dusclops,4,13,ghost,psychic,ghost,ghost
Dusknoir,4,13,ghost,psychic,ghost,ghost
Duskull,4,13,ghost,psychic,ghost,ghost
Dustox,16,10,bug,poison,bug,bug
Dwebble,7,5,rock,ground,rock,rock
Eelektrik,11,11,electric,poison,electric,electric
Eelektross,11,11,electric,dragon,electric,electric
Eevee,14,1,ground,psychic,psychic,fighting
Ekans,9,17,poison,dark,dark,poison
Electabuzz,11,1,fighting,electric,electric,fighting
Electivire,11,11,electric,fighting,electric,electric
Electrike,11,11,electric,dark,electric,electric
Electrode,11,11,electric,dark,electric,electric
Elekid,11,11,electric,fighting,electric,electric
Elgyem,6,7,psychic,dark,psychic,psychic
Emboar,17,16,fire,fighting,fire,fire
Emolga,11,11,electric,flying,electric,electric
Empoleon,12,3,water,rock,water,water
Entei,17,16,fire,psychic,fire,fire
Escavalier,16,10,bug,fighting,bug,bug
Espeon,14,15,psychic,ground,psychic,psychic
Espurr,6,7,psychic,dark,psychic,psychic
Excadrill,7,5,ground,rock,rock,rock
Exeggcute,5,8,grass,psychic,grass,grass
Exeggutor,5,8,grass,psychic,grass,grass
Exploud,7,1,fire,fighting,rock,fighting
Farfetch'd,13,6,flying,poison,flying,flying
Fearow,13,6,flying,dark,flying,flying
Feebas,3,3,water,ice,water,water
Fennekin,17,16,fire,psychic,fire,fire
Feraligatr,12,3,water,ice,water,water
Ferroseed,7,5,grass,rock,rock,rock
Ferrothorn,7,8,grass,rock,rock,grass
Finneon,3,3,water,ice,water,water
Flaaffy,11,11,electric,fighting,electric,electric
Flabebe,5,8,grass,psychic,grass,grass
Flareon,14,16,fire,fighting,psychic,fire
Fletchinder,13,16,fire,flying,flying,fire
Fletchling,13,6,flying,fire,flying,flying
Floatzel,12,3,water,ice,water,water
Floette,5,8,grass,psychic,grass,grass
Floette-Eternal,5,8,grass,psychic,grass,grass
Florges,5,8,grass,psychic,grass,grass
Flygon,16,14,dragon,bug,bug,dragon
Foongus,5,8,grass,poison,grass,grass
Forretress,7,5,rock,ground,rock,rock
Fraxure,8,14,dragon,dark,dragon,dragon
Frillish,4,3,water,psychic,ghost,water
Froakie,12,3,water,rock,water,water
Frogadier,12,3,water,ice,water,water
Froslass,4,2,ice,dark,ghost,ice
Furfrou,14,1,dark,electric,psychic,fighting
Furret,10,1,fighting,water,fighting,fighting
Gabite,8,14,dragon,rock,dragon,dragon
Gallade,6,7,psychic,fighting,psychic,psychic
Galvantula,11,10,bug,electric,electric,bug
Garbodor,7,17,poison,rock,rock,poison
Gardevoir,6,7,psychic,ghost,psychic,psychic
Gastly,4,13,ghost,psychic,ghost,ghost
Gastrodon,3,3,water,poison,water,water
Genesect,11,10,bug,electric,electric,bug
Gengar,4,13,ghost,poison,ghost,ghost
Geodude,7,5,rock,fighting,rock,rock
Gible,8,14,dragon,rock,dragon,dragon
Gigalith,7,5,rock,ground,rock,rock
Girafarig,6,7,psychic,dark,psychic,psychic
Giratina,8,14,dragon,psychic,dragon,dragon
Giratina-Origin,8,14,dragon,psychic,dragon,dragon
Glaceon,14,1,ice,psychic,psychic,fighting
Glalie,7,2,ice,dark,rock,ice
Glameow,10,1,dark,water,fighting,fighting
Gligar,16,17,poison,rock,bug,poison
Gliscor,16,17,poison,rock,bug,poison
Gloom,5,8,grass,poison,grass,grass
Gogoat,5,8,grass,fighting,grass,grass
Golbat,13,6,flying,dark,flying,flying
Goldeen,3,3,water,ice,water,water
Golduck,12,3,water,psychic,water,water
Golem,7,5,rock,fighting,rock,rock
Golett,7,12,fighting,rock,rock,fighting
Golurk,7,5,fighting,rock,rock,rock
Goodra,8,14,poison,dragon,dragon,dragon
Goomy,8,17,poison,water,dragon,poison
Gorebyss,3,3,water,psychic,water,water
Gothita,6,7,psychic,dark,psychic,psychic
Gothitelle,6,7,psychic,dark,psychic,psychic
Gothorita,6,7,psychic,dark,psychic,psychic
Gourgeist,4,13,grass,psychic,ghost,ghost
Gourgeist-Large,15,9,none,none,none,none
Gourgeist-Small,15,9,none,none,none,none
Gourgeist-Super,15,9,none,none,none,none
Granbull,14,1,fighting,fire,psychic,fighting
Graveler,7,5,rock,fighting,rock,rock
Greninja,12,3,water,dark,water,water
Grimer,4,17,poison,fire,ghost,poison
Grotle,5,8,grass,rock,grass,grass
Grovyle,5,8,grass,fighting,grass,grass
Growlithe,17,16,fire,fighting,fire,fire
Grumpig,6,7,psychic,fighting,psychic,psychic
Gulpin,4,17,poison,ghost,ghost,poison
Gurdurr,1,12,fighting,rock,fighting,fighting
Gyarados,8,3,water,dragon,dragon,water
Happiny,14,1,psychic,fire,psychic,fighting
Hariyama,1,12,fighting,rock,fighting,fighting
Haunter,4,13,ghost,poison,ghost,ghost
Hawlucha,13,12,fighting,flying,flying,fighting
Haxorus,8,14,dragon,fighting,dragon,dragon
Heatmor,17,16,fire,dark,fire,fire
Heliolisk,11,11,electric,rock,electric,electric
Helioptile,11,11,electric,rock,electric,electric
Heracross,1,12,fighting,rock,fighting,fighting
Herdier,14,1,electric,dark,psychic,fighting
Hippopotas,7,5,ground,rock,rock,rock
Hippowdon,7,5,rock,ground,rock,rock
Hitmonchan,1,12,fighting,rock,fighting,fighting
Hitmonlee,1,12,fighting,rock,fighting,fighting
Hitmontop,1,12,fighting,rock,fighting,fighting
Honchkrow,13,0,dark,flying,flying,dark
Honedge,7,5,steel,rock,rock,rock
Ho-Oh,13,6,flying,fire,flying,flying
Hoopa,6,7,psychic,dark,psychic,psychic
Hoopa-Unbound,6,7,psychic,dark,psychic,psychic
Hoothoot,13,6,flying,psychic,flying,flying
Hoppip,5,8,grass,poison,grass,grass
Horsea,3,3,water,dragon,water,water
Houndoom,9,0,dark,fire,dark,dark
Houndour,9,0,dark,fire,dark,dark
Huntail,3,3,water,ice,water,water
Hydreigon,8,14,dragon,dark,dragon,dragon
Hypno,6,7,psychic,fighting,psychic,psychic
Igglybuff,14,15,psychic,fire,psychic,psychic
Illumise,16,1,bug,flying,bug,fighting
Inkay,9,0,dark,psychic,dark,dark
Ivysaur,5,8,grass,poison,grass,grass
Jellicent,4,3,water,psychic,ghost,water
Jigglypuff,14,1,psychic,fighting,psychic,fighting
Jirachi,6,7,psychic,electric,psychic,psychic
Jolteon,14,1,electric,psychic,psychic,fighting
Joltik,11,10,bug,poison,electric,bug
Jumpluff,5,8,grass,poison,grass,grass
Jynx,6,7,psychic,ice,psychic,psychic
Kabuto,3,3,rock,water,water,water
Kabutops,12,3,rock,water,water,water
Kadabra,6,7,psychic,dark,psychic,psychic
Kakuna,15,4,poison,bug,none,poison
Kangaskhan,10,1,fighting,ice,fighting,fighting
Karrablast,16,10,bug,poison,bug,bug
Kecleon,10,1,fighting,psychic,fighting,fighting
Keldeo,3,3,water,fighting,water,water
Kingdra,3,3,water,dragon,water,water
Kingler,12,3,water,rock,water,water
Kirlia,6,7,psychic,ghost,psychic,psychic
Klang,11,11,electric,steel,electric,electric
Klefki,0,15,psychic,fairy,psychic,psychic
Klink,11,11,electric,steel,electric,electric
Klinklang,11,11,electric,steel,electric,electric
Koffing,4,17,poison,dark,ghost,poison
Krabby,12,3,water,ice,water,water
Kricketot,15,4,bug,ground,none,poison
Kricketune,16,10,bug,dark,bug,bug
Krokorok,9,0,dark,rock,dark,dark
Krookodile,9,0,dark,rock,dark,dark
Kyogre,3,3,water,ice,water,water
Kyurem,8,14,dragon,psychic,dragon,dragon
Kyurem-Black,8,14,dragon,ice,dragon,dragon
Kyurem-White,8,14,dragon,ice,dragon,dragon
Lairon,7,5,rock,steel,rock,rock
Lampent,4,13,fire,psychic,ghost,ghost
Landorus,7,5,rock,ground,rock,rock
Landorus-Therian,7,5,rock,ground,rock,rock
Lanturn,3,3,water,electric,water,water
Lapras,3,3,water,ice,water,water
Larvesta,17,16,fire,bug,fire,fire
Larvitar,7,5,rock,dark,rock,rock
Latias,6,7,psychic,water,psychic,psychic
Latios,6,7,psychic,dragon,psychic,psychic
Leafeon,14,8,grass,ground,psychic,grass
Leavanny,5,10,grass,bug,grass,bug
Ledian,16,10,bug,fighting,bug,bug
Ledyba,16,10,bug,flying,bug,bug
Lickilicky,7,1,fighting,water,rock,fighting
Lickitung,7,1,water,fighting,rock,fighting
Liepard,9,0,dark,psychic,dark,dark
Lileep,5,8,grass,rock,grass,grass
Lilligant,5,8,grass,psychic,grass,grass
Lillipup,14,1,electric,dark,psychic,fighting
Linoone,10,1,electric,water,fighting,fighting
Litleo,17,16,fire,dark,fire,fire
Litwick,4,13,fire,psychic,ghost,ghost
Lombre,12,3,water,grass,water,water
Lopunny,14,1,fighting,electric,psychic,fighting
Lotad,5,8,grass,water,grass,grass
Loudred,7,1,fighting,fire,rock,fighting
Lucario,1,12,fighting,psychic,fighting,fighting
Ludicolo,12,3,water,grass,water,water
Lugia,13,14,psychic,flying,flying,dragon
Lumineon,3,3,water,ice,water,water
Lunatone,0,7,psychic,rock,psychic,psychic
Luvdisc,3,3,water,ice,water,water
Luxio,11,11,electric,dark,electric,electric
Luxray,11,11,electric,dark,electric,electric
Machamp,1,12,fighting,rock,fighting,fighting
Machoke,1,12,fighting,fire,fighting,fighting
Machop,1,12,fighting,fire,fighting,fighting
Magby,17,16,fire,fighting,fire,fire
Magcargo,7,5,rock,fire,rock,rock
Magikarp,15,15,water,flying,none,psychic
Magmar,17,16,fire,fighting,fire,fire
Magmortar,17,16,fire,fighting,fire,fire
Magnemite,11,11,electric,steel,electric,electric
Magneton,11,11,electric,steel,electric,electric
Magnezone,11,11,electric,psychic,electric,electric
Makuhita,1,12,fighting,rock,fighting,fighting
Malamar,9,0,dark,psychic,dark,dark
Mamoswine,12,2,ice,rock,water,ice
Manaphy,3,3,water,psychic,water,water
Mandibuzz,13,0,dark,flying,flying,dark
Manectric,11,11,electric,fire,electric,electric
Mankey,1,12,fighting,dark,fighting,fighting
Mantine,3,3,water,flying,water,water
Mantyke,3,3,water,flying,water,water
Maractus,5,8,grass,poison,grass,grass
Mareep,11,11,electric,psychic,electric,electric
Marill,12,3,water,ice,water,water
Marowak,7,5,rock,fighting,rock,rock
Marshtomp,12,3,water,rock,water,water
Masquerain,16,10,bug,water,bug,bug
Mawile,9,1,dark,rock,dark,fighting
Medicham,1,12,psychic,fighting,fighting,fighting
Meditite,1,12,psychic,fighting,fighting,fighting
Meganium,5,8,grass,psychic,grass,grass
Meloetta,6,7,psychic,fighting,psychic,psychic
Meowstic-F,6,7,psychic,dark,psychic,psychic
Meowstic-M,6,7,psychic,dark,psychic,psychic
Meowth,9,1,dark,ghost,dark,fighting
Metagross,7,5,psychic,rock,rock,rock
Metang,7,5,psychic,rock,rock,rock
Metapod,15,4,bug,electric,none,poison
Mew,6,14,psychic,dark,psychic,dragon
Mewtwo,6,7,psychic,fighting,psychic,psychic
Mienfoo,1,12,fighting,psychic,fighting,fighting
Mienshao,1,12,fighting,rock,fighting,fighting
Mightyena,9,1,dark,fire,dark,fighting
Milotic,3,3,water,ice,water,water
Miltank,7,1,fighting,rock,rock,fighting
Mime Jr.,6,7,psychic,dark,psychic,psychic
Minccino,14,1,dark,electric,psychic,fighting
Minun,14,11,electric,dark,psychic,electric
Misdreavus,4,13,psychic,ghost,ghost,ghost
Mismagius,4,13,psychic,ghost,ghost,ghost
Moltres,13,6,flying,fire,flying,flying
Monferno,17,16,fire,fighting,fire,fire
Mothim,16,10,bug,flying,bug,bug
Mr. Mime,6,7,psychic,fighting,psychic,psychic
Mudkip,12,3,water,rock,water,water
Muk,4,17,poison,dark,ghost,poison
Munchlax,7,1,rock,fire,rock,fighting
Munna,0,7,psychic,rock,psychic,psychic
Murkrow,13,0,flying,dark,flying,dark
Musharna,0,7,psychic,rock,psychic,psychic
Natu,6,7,psychic,flying,psychic,psychic
Nidoking,10,17,poison,rock,fighting,poison
Nidoqueen,10,17,poison,dark,fighting,poison
Nidoran-F,10,17,poison,dark,fighting,poison
Nidoran-M,10,17,poison,dark,fighting,poison
Nidorina,10,17,poison,dark,fighting,poison
Nidorino,10,17,poison,dark,fighting,poison
Nincada,16,10,bug,ground,bug,bug
Ninetales,4,16,fire,psychic,ghost,fire
Ninjask,16,10,bug,flying,bug,bug
Noctowl,13,6,flying,psychic,flying,flying
Noibat,13,6,flying,dark,flying,flying
Noivern,13,6,flying,dark,flying,flying
Nosepass,7,5,rock,electric,rock,rock
Numel,7,16,fire,rock,rock,fire
Nuzleaf,5,8,grass,dark,grass,grass
Octillery,3,3,water,poison,water,water
Oddish,5,8,grass,poison,grass,grass
Omanyte,3,3,water,rock,water,water
Omastar,3,3,water,rock,water,water
Onix,7,5,rock,ground,rock,rock
Oshawott,12,3,water,ice,water,water
Pachirisu,11,11,electric,dark,electric,electric
Palkia,8,14,dragon,water,dragon,dragon
Palpitoad,3,3,water,poison,water,water
Pancham,9,12,fighting,dark,dark,fighting
Pangoro,9,12,fighting,dark,dark,fighting
Panpour,12,3,water,dark,water,water
Pansage,5,8,grass,dark,grass,grass
Pansear,17,16,fire,dark,fire,fire
Paras,5,8,grass,poison,grass,grass
Parasect,5,8,grass,poison,grass,grass
Patrat,10,1,dark,fighting,fighting,fighting
Pawniard,9,0,dark,rock,dark,dark
Pelipper,13,6,water,flying,flying,flying
Persian,9,1,dark,ghost,dark,fighting
Petilil,5,8,grass,psychic,grass,grass
Phanpy,7,5,rock,ground,rock,rock
Phantump,4,13,grass,psychic,ghost,ghost
Phione,3,3,water,ice,water,water
Pichu,14,1,electric,fighting,psychic,fighting
Pidgeot,13,6,flying,dark,flying,flying
Pidgeotto,13,6,flying,dark,flying,flying
Pidgey,13,6,flying,dark,flying,flying
Pidove,13,6,flying,fire,flying,flying
Pignite,17,16,fire,fighting,fire,fire
Pikachu,14,1,electric,fighting,psychic,fighting
Piloswine,12,2,ice,rock,water,ice
Pineco,7,5,rock,ground,rock,rock
Pinsir,1,12,fighting,rock,fighting,fighting
Piplup,12,3,water,ice,water,water
Plusle,14,11,electric,water,psychic,electric
Politoed,3,3,water,ice,water,water
Poliwag,3,3,water,ice,water,water
Poliwhirl,3,3,water,ice,water,water
Poliwrath,3,3,water,fighting,water,water
Ponyta,17,16,fire,psychic,fire,fire
Poochyena,9,1,dark,fire,dark,fighting
Porygon,0,7,psychic,electric,psychic,psychic
Porygon2,0,7,psychic,electric,psychic,psychic
Porygon-Z,0,7,psychic,electric,psychic,psychic
Primeape,1,12,fighting,dark,fighting,fighting
Prinplup,12,3,water,ice,water,water
Probopass,7,5,rock,electric,rock,rock
Psyduck,12,3,water,psychic,water,water
Pumpkaboo,4,13,grass,psychic,ghost,ghost
Pumpkaboo-Large,15,9,none,none,none,none
Pumpkaboo-Small,15,9,none,none,none,none
Pumpkaboo-Super,15,9,none,none,none,none
Pupitar,7,5,rock,dark,rock,rock
Purrloin,9,0,dark,psychic,dark,dark
Purugly,10,1,dark,ground,fighting,fighting
Pyroar,17,16,fire,dark,fire,fire
Quagsire,3,3,water,ice,water,water
Quilava,17,16,fire,fighting,fire,fire
Quilladin,7,8,grass,fighting,rock,grass
Qwilfish,3,3,water,poison,water,water
Raichu,14,1,electric,fighting,psychic,fighting
Raikou,11,11,electric,psychic,electric,electric
Ralts,6,7,psychic,ghost,psychic,psychic
Rampardos,7,5,rock,fire,rock,rock
Rapidash,17,16,fire,poison,fire,fire
Raticate,10,1,dark,electric,fighting,fighting
Rattata,10,1,dark,electric,fighting,fighting
Regice,7,5,fighting,rock,rock,rock
Regigigas,7,5,rock,fighting,rock,rock
Regirock,7,5,rock,fighting,rock,rock
Registeel,7,5,rock,fighting,rock,rock
Relicanth,3,3,water,rock,water,water
Remoraid,3,3,water,ice,water,water
Reshiram,8,14,fire,dragon,dragon,dragon
Reuniclus,0,7,psychic,fighting,psychic,psychic
Rhydon,7,5,rock,fighting,rock,rock
Rhyhorn,7,5,rock,ground,rock,rock
Rhyperior,7,5,rock,fighting,rock,rock
Riolu,1,12,fighting,ground,fighting,fighting
Roggenrola,7,5,rock,ground,rock,rock
Roselia,5,8,grass,poison,grass,grass
Roserade,5,8,grass,poison,grass,grass
Rotom,11,11,electric,psychic,electric,electric
Rotom-Fan,11,11,electric,psychic,electric,electric
Rotom-Frost,11,11,electric,psychic,electric,electric
Rotom-Heat,11,11,electric,psychic,electric,electric
Rotom-Mow,11,11,electric,psychic,electric,electric
Rotom-Wash,11,11,electric,psychic,electric,electric
Rufflet,13,6,flying,rock,flying,flying
Sableye,9,0,dark,psychic,dark,dark
Salamence,8,14,dragon,fire,dragon,dragon
Samurott,12,3,water,ice,water,water
Sandile,9,0,dark,rock,dark,dark
Sandshrew,10,5,ground,rock,fighting,rock
Sandslash,10,5,rock,ground,fighting,rock
Sawk,1,12,fighting,rock,fighting,fighting
Sawsbuck,5,8,grass,fighting,grass,grass
Scatterbug,15,4,bug,poison,none,poison
Sceptile,5,8,grass,fighting,grass,grass
Scizor,16,10,bug,flying,bug,bug
Scolipede,7,17,poison,bug,rock,poison
Scrafty,9,12,fighting,dark,dark,fighting
Scraggy,9,12,fighting,dark,dark,fighting
Scyther,16,10,bug,flying,bug,bug
Seadra,3,3,water,dragon,water,water
Seaking,3,3,water,ice,water,water
Sealeo,3,3,water,ice,water,water
Seedot,5,8,grass,psychic,grass,grass
Seel,3,3,water,ice,water,water
Seismitoad,3,3,water,poison,water,water
Sentret,10,1,water,fighting,fighting,fighting
Serperior,5,8,grass,dragon,grass,grass
Servine,5,8,grass,psychic,grass,grass
Seviper,9,17,poison,dark,dark,poison
Sewaddle,5,10,bug,grass,grass,bug
Sharpedo,12,3,water,dark,water,water
Shaymin,5,8,grass,psychic,grass,grass
Shaymin-Sky,5,8,grass,psychic,grass,grass
Shedinja,16,10,bug,ghost,bug,bug
Shelgon,8,14,dragon,fire,dragon,dragon
Shellder,3,3,water,ice,water,water
Shellos,3,3,water,ice,water,water
Shelmet,16,10,bug,poison,bug,bug
Shieldon,7,5,rock,ground,rock,rock
Shiftry,5,8,grass,dark,grass,grass
Shinx,11,11,electric,dark,electric,electric
Shroomish,5,8,grass,poison,grass,grass
Shuckle,7,5,rock,poison,rock,rock
Shuppet,4,13,ghost,psychic,ghost,ghost
Sigilyph,6,7,psychic,flying,psychic,psychic
Silcoon,15,4,poison,bug,none,poison
Simipour,12,3,water,dark,water,water
Simisage,5,8,grass,dark,grass,grass
Simisear,17,16,fire,dark,fire,fire
Skarmory,13,6,flying,dark,flying,flying
Skiddo,5,8,grass,rock,grass,grass
Skiploom,5,8,grass,poison,grass,grass
Skitty,14,1,electric,psychic,psychic,fighting
Skorupi,9,17,poison,dark,dark,poison
Skrelp,3,17,poison,water,water,poison
Skuntank,9,17,dark,poison,dark,poison
Slaking,10,1,fighting,dark,fighting,fighting
Slakoth,10,1,fighting,fire,fighting,fighting
Sliggoo,8,17,poison,water,dragon,poison
Slowbro,6,7,psychic,water,psychic,psychic
Slowking,6,7,psychic,water,psychic,psychic
Slowpoke,6,7,psychic,water,psychic,psychic
Slugma,4,16,fire,rock,ghost,fire
Slurpuff,14,15,psychic,grass,psychic,psychic
Smeargle,15,15,none,none,none,psychic
Smoochum,6,7,psychic,ice,psychic,psychic
Sneasel,9,0,dark,ice,dark,dark
Snivy,5,8,grass,psychic,grass,grass
Snorlax,7,1,fighting,rock,rock,fighting
Snorunt,12,2,ice,dark,water,ice
